CoffeeID,ID,Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
103,103,Colombia,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.58,0.0,83.75,10.6,0,0,greenish,1
104,104,Mexico,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.0,83.75,11.7,4,0,green,12
105,105,Colombia,,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,12.4,1,0,greenish,9
106,106,Taiwan,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,10.0,0,0,bluish-green,0
107,107,Myanmar,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.67,10.2,0,1,pale yellow,1
108,108,Taiwan,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,9.2,0,0,greenish,0
109,109,Honduras,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,11.1,0,2,pale yellow,1
110,110,Taiwan,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,83.58,8.4,0,0,green,0
111,111,Taiwan,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.58,9.1,0,0,green,0
112,112,Guatemala,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.58,10.9,0,2,green,4
113,113,Honduras,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.5,11.2,0,1,green,5
114,114,Colombia,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,7.58,0.0,83.5,12.2,0,0,bluish-green,2
115,115,Thailand,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.0,83.5,13.1,0,0,green,0
116,116,Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,7.67,0.0,83.5,10.4,0,1,greenish,11
117,117,Thailand,Java,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.42,11.6,0,2,green,0
118,118,Uganda,SL14,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.42,10.1,0,0,green,3
119,119,Taiwan,Typica + SL34,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,7.92,0.0,83.42,10.1,0,0,blue-green,0
120,120,Uganda,SL14,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,7.67,0.0,83.33,11.1,0,0,green,5
121,121,Taiwan,Typica,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.75,0.0,83.33,9.7,0,0,greenish,0
122,122,Guatemala,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.5,0.0,83.33,11.4,0,0,green,0
123,123,Taiwan,Typica,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,7.75,0.0,83.33,9.6,0,0,green,1
124,124,Colombia,Caturra,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,7.58,0.0,83.33,13.5,0,0,greenish,0
125,125,Costa Rica,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,7.67,0.0,83.33,0.0,0,0,green,3
126,126,Taiwan,SL34,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,83.33,10.7,0,0,blue-green,1
127,127,Thailand,Typica,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10.0,10.0,10.0,7.33,0.0,83.33,12.3,0,0,yellow-green,16
128,128,"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.5,0.0,83.25,10.4,0,0,greenish,8
129,129,Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,7.67,0.0,83.25,11.6,0,0,green,4
130,130,Taiwan,unknown,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,7.58,0.0,83.25,9.6,0,0,green,1
131,131,Colombia,"Red Bourbon,Caturra",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.5,0.0,83.25,10.9,0,0,brownish,2
132,132,Honduras,Lempira,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,7.5,0.0,83.25,10.5,0,0,bluish-green,3
133,133,Honduras,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,0.0,83.25,11.3,0,1,green,5
134,134,Taiwan,Typica,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,7.5,0.0,83.17,9.7,0,0,greenish,2
135,135,Taiwan,unknown,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.67,0.0,83.17,11.8,0,0,blue-green,0
136,136,Laos,Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,7.58,0.0,83.08,11.8,0,0,brownish,7
137,137,Honduras,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.58,0.0,83.08,10.6,0,2,green,7
138,138,Honduras,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,83.08,9.6,0,0,green,2
139,139,Colombia,Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,7.33,0.0,83.0,13.1,0,0,bluish-green,1
140,140,Taiwan,Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.0,82.92,8.9,0,0,blue-green,0
141,141,Mexico,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.92,11.9,2,0,green,1
142,142,Colombia,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,7.58,0.0,82.92,11.5,0,1,greenish,3
143,143,Taiwan,Gesha,,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,7.58,0.0,82.92,10.2,0,0,yellow-green,0
144,144,Honduras,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.83,10.0,0,0,green,4
145,145,Thailand,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,7.42,0.0,82.83,11.8,0,0,yellow-green,5
146,146,Vietnam,Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.33,0.0,82.83,13.3,0,0,green,4
147,147,Nicaragua,SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,7.33,0.0,82.75,10.5,5,2,green,1
148,148,Costa Rica,SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,7.42,0.0,82.75,11.8,0,0,pale yellow,1
149,149,Colombia,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,7.5,0.0,82.67,11.8,0,1,green,2
150,150,Thailand,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,7.33,0.0,82.67,13.0,1,0,greenish,0
151,151,Thailand,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.58,0.0,82.67,11.2,0,0,yellow green,0
152,152,Honduras,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.67,9.6,0,0,green,2
153,153,Taiwan,unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,7.5,0.0,82.58,9.8,0,0,green,0
154,154,Taiwan,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,7.5,0.0,82.58,8.4,0,0,blue-green,2
155,155,Nicaragua,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,7.42,0.0,82.58,10.1,0,0,green,0
156,156,El Salvador,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,7.33,0.0,82.5,11.3,0,0,green,2
157,157,Panama,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,7.42,0.0,82.5,10.0,0,0,green,0
158,158,Brazil,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,7.33,0.0,82.5,11.8,0,1,bluish-green,1
159,159,United States (Hawaii),Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.5,0.0,82.5,11.7,0,0,blue-green,1
160,160,Mexico,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,7.33,0.0,82.5,10.7,0,0,pale yellow,0
161,161,Honduras,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,7.5,0.0,82.5,10.6,0,0,green,8
162,162,Taiwan,unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,7.58,0.0,82.5,8.4,0,0,green,2
163,163,Nicaragua,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,7.42,0.0,82.42,11.4,0,0,bluish-green,0
164,164,Vietnam,Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.58,0.0,82.33,10.5,0,0,bluish-green,0
165,165,El Salvador,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,7.42,0.0,82.33,12.0,0,7,green,10
166,166,El Salvador,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,7.17,0.0,82.33,11.8,0,0,bluish-green,0
167,167,Taiwan,unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.42,0.0,82.33,10.8,0,0,green,1
168,168,Peru,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.42,0.0,82.25,11.7,0,1,greenish,3
169,169,United States (Hawaii),Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.33,0.0,82.17,10.6,1,0,green,5
170,170,Kenya,"SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,0.0,82.17,11.2,0,0,green,2
171,171,Honduras,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.42,0.0,82.17,10.6,0,0,green,8
172,172,Taiwan,unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,7.5,0.0,82.08,9.7,0,0,bluish-green,0
173,173,Taiwan,unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,0.0,82.08,8.1,0,0,greenish,3
174,174,Taiwan,unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,7.42,0.0,82.0,8.2,0,0,green,1
175,175,Thailand,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.0,82.0,9.8,0,0,green,0
176,176,Costa Rica,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,7.5,0.0,82.0,10.5,1,2,green,8
177,177,Guatemala,,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,0.0,82.0,11.5,0,1,blue-green,2
178,178,Indonesia,,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,7.42,0.0,82.0,12.5,0,0,bluish-green,0
179,179,Peru,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,7.42,0.0,81.92,11.6,0,2,greenish,2
180,180,Guatemala,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,7.42,0.0,81.92,10.3,0,0,greenish,1
181,181,Taiwan,Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,0.0,81.83,11.3,0,0,green,0
182,182,Vietnam,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.33,0.0,81.83,11.2,0,0,green,4
183,183,Brazil,Yellow Catuai,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,7.42,0.0,81.83,11.3,0,0,pale yellow,2
184,184,Brazil,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.0,81.75,11.1,0,0,yellow-green,0
185,185,Colombia,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.33,0.0,81.75,11.2,0,0,yellow-green,0
186,186,Mexico,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,7.33,0.0,81.67,11.8,2,0,green,2
187,187,Costa Rica,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.42,0.0,81.58,9.7,0,2,green,4
188,188,Taiwan,Typica,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.33,0.0,81.58,9.0,0,0,yellow-green,0
189,189,Taiwan,unknown,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.0,81.5,8.5,0,0,green,0
190,190,Thailand,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,7.17,0.0,81.42,11.6,2,0,green,1
191,191,Thailand,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,0.0,81.33,10.5,0,0,yellowish,5
192,192,Thailand,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,7.17,0.0,81.17,10.4,0,0,green,0
193,193,Colombia,"Caturra,Colombia,Castillo",Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,7.33,0.0,81.17,11.4,0,2,greenish,2
194,194,Brazil,,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,7.25,0.0,81.0,10.6,0,2,greenish,1
195,195,El Salvador,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,7.17,0.0,80.83,10.5,0,8,bluish-green,7
196,196,Nicaragua,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,7.17,0.0,80.5,11.5,0,1,greenish,3
197,197,Nicaragua,Sarchimor,Washed / Wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,7.17,0.0,80.42,11.2,0,0,green,5
198,198,Colombia,"Castillo,Caturra,Bourbon",Washed / Wet,7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,7.25,0.0,80.42,11.0,0,3,greenish,3
199,199,Peru,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,7.0,0.0,80.33,11.8,0,6,greenish,11
200,200,El Salvador,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,7.0,0.0,80.33,11.5,0,10,bluish-green,7
201,201,Brazil,Catuai and Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,7.17,0.0,80.17,11.6,0,1,greenish,2
202,202,Brazil,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,7.08,0.0,80.08,11.4,0,0,green,4
203,203,Nicaragua,SHG,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,7.08,0.0,80.0,10.4,0,2,green,12
204,204,Laos,Catimor,Washed / Wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,7.0,0.0,79.67,11.6,0,9,green,11
205,205,El Salvador,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,6.83,0.0,78.08,11.0,0,12,bluish-green,13
206,206,Brazil,Mundo Novo,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,6.67,0.0,78.0,11.3,0,0,green,1
